University,University Type,Release,Title,Link,Additional Information,Course/ Syllabus Links,Category,Format,Pages,No of classes covering privacy,Privacy Defn,Privacy Threats,Privacy Solutions
Adelphi University,Doctoral-D/PU,No,Cybersecurity Concepts,https://drive.google.com/file/d/1stU-7hdKZoh_onJdtJ1hVK6r15pdPI9d/view?usp=drive_link,,,Required textbook,,,-,"- Assures that individuals control or influence what information related to them may be collected and stored and by whom and to whom that information may be disclosed.
- Provides a user with protection against discovery and misuse of his or her identity by other users.",-,"- A simple approach available for use on a laptop is to use a commercially available encryption package such as Pretty Good Privacy (PGP). PGP enables a user to generate a key from a password and then use that key to encrypt selected files on the hard disk. 
- a trust framework functions as a certification pro- gram. It enables a party who accepts a digital identity credential (called the relying party) to trust the identity, security, and privacy policies of the party who issues the credential (called the identity service provider) and vice versa. 
-  This function encodes or encrypts portions of the data so as to preserver privacy but still allow data analysis functions needed for effective use. 
- Anonymization: This function removes specific identifying information from query results, such as last name and telephone number, but creates some sort of anonymized unique identifier so that analysts can detect connections between queries.
- Selective revelation: This is a method for minimizing exposure of individual information while enabling continuous analysis of potentially interconnected data. 
-  Immutable audit: A tamper-resistant method that identifies where data go and who has seen the data. 
- Associative memory: This is a software module that can recognize patterns and make connections between pieces of data that the human user may have missed or did not know existed.
- MAC-level data (e.g., an LLC PDU) are encrypted along with a message integrity code that ensures that the data have not been altered."
Rochester University,Baccalaureate-DiverseFields,No,Social Implications of Computing,https://drive.google.com/file/d/163-mlsFibcrIm5qpZ23PwqbvfHg-upoj/view?usp=sharing,,,Textbook,,,4,"- Freedom from intrusion—being left alone
- Control of information about oneself
- Freedom from surveillance (from being followed, tracked, watched, and eaves- dropped upon)
- Privacy includes control of information about oneself. 
- Some economists, legal scholars, and privacy advocates propose giving people property rights in information about themselves.
117 ","- Intentional, institutional uses of personal information (in the government sector primarily for law enforcement and tax collection, and in the private sector primarily for marketing and decision making)
- Unauthorized use or release by “insiders,” the people who maintain the information
- Theft of information
- Inadvertent leakage of information through negligence or carelessness
- Law enforcement agencies have very sophisticated tools for eavesdropping, surveillance, and collecting and analyzing data about people’s activities, tools that can help reduce crime and increase security—or threaten privacy and liberty.
- Direct association with a person’s name is not essential for compromising privacy. Re-identification has become much easier due to the quantity of personal infor- mation stored and the power of data search and analysis tools.
- Many businesses and organizations have policy statements or customer agreements that inform customers, members, and sub- scribers of their policy on collecting and using personal data, but many people simply do not read them. And if they read them, they forget. Thus, there can be a significant privacy impact from the many automated systems that collect information in unobvious ways, even when people have been informed.
- Companies can use face recognition systems in video game consoles and televisions to target ads to the individual person who is playing a game or watching TV.
- Such a database (detail about each student) could be an ideal target for identity thieves.
- We use our Social Security number for identification for credit, financial services, and numerous other services, yet its insecurity compromises our privacy and exposes us to fraud and identity theft.
- Even if the NSA did not collect customer names, it is quite easy to re-identify people from their phone records.","- Privacy advocates have developed various sets of principles for protection of personal data. They are often called Fair Information Principles or Fair Information Practices.
-  Inform people when you collect information about them, what you collect, and how you use it.
- Collect only the data needed.
- Offer a way for people to opt out from mailing lists, advertising, and other secondary uses. Offer a way for people to opt out from features and services that expose personal information.
- Keep data only as long as needed.
- Maintain accuracy of data. Where appropriate and reasonable, provide a way for people to access and correct data stored about them.
- Protect security o fdata(from theft and from accidental leaks). Provide stronger protection for sensitive data.
- Develop policies for responding to law enforcement requests for data.
- Restricts the data in federal government records to what is “relevant and necessary” to the legal purpose for which the government collects it
- Requires federal agencies to publish a notice of their record systems in the Federal Register so that the public may learn about what databases exist
- Allows people to access their records and correct inaccurate information
- Requires procedures to protect the security of the information in databases
- Prohibits disclosure of information about a person without his or her consent (with several exceptions)
- Companies offer products and services to prevent forwarding, copying, or printing email. 
- Many privacy and security professionals view encryption as the most important technical method for ensuring the privacy of messages and data sent through computer networks. 
- Website operators pay thousands, sometimes millions, of dollars to companies that do privacy audits. Privacy auditors check for leaks of information, review the company’s privacy policy and its compliance with that policy, evaluate warnings and explanations on its website that alert visitors when the site requests sensitive data, and so forth. Hundreds of large businesses have a position called chief privacy officer.
- we considered some aspects of law and Fourth Amendment principles related to protection of privacy
- Some prosecutors use the CFAA to bring charges against people or businesses that do unauthorized data collection.
- A clear policy removes some of the guesswork about expectations of privacy.
- System designers should give serious thought to default settings. Sometimes protection (of privacy or from hackers, for example) is the ethical priority."
Washington University in St Louis,Doctoral-R1,No,Introduction to Computer Security,https://drive.google.com/file/d/1cH4mqo65LcixF8ZiULOsER3fJFDnIAku/view?usp=drive_link,,,No materials provided,,,1,-,-,-
Stevens Institute of Technology,Doctoral-R2,No,Introduction to Cloud Computing,https://drive.google.com/file/d/1Q50-NrXY7Op5juoEriEFO09YNePPxRZA/view?usp=drive_link,,,"Lecture slides, required textbook",,,0,-,-,-
Saint Louis University,Doctoral-R2,No,Introduction to Computer Science: Cybersecurity,https://drive.google.com/file/d/1iDS6LROPkKIJHGLVJbut71FqEGhDx8fR/view?usp=drive_link,,,"No slides provided, recommended textbooks",,,-,See new spreadsheet,,
Texas State University,Doctoral-R2,Yes,Advanced Computer Networking,https://hb2504.txst.edu/,,,Cannot find CS 7342 on the page,,,0,,,
Purdue University-Main Campus,Doctoral-R1,Yes,Computer Security,https://www.cs.purdue.edu/homes/clifton/,,,"Required Textbook
- Charles P. Pfleeger, Shari Lawrence Pfleeger, and Jonathan Margulies Security in Computing, 5/e Prentice Hall, 2007. (syllabus has detailed chapters to read)
Slides
- Need to access with VPN",O'reilly digital,944 pages,4,,,
Purdue University-Main Campus,Doctoral-R1,Yes,Introduction To Relational Database Systems,https://www.cs.purdue.edu/homes/clifton/,,,,,,0,,,
College of the Holy Cross,Baccalaureate-ArtsAndSciences,No,Ethical Issues in Computer Science,https://drive.google.com/file/d/1jy1kQ1t_h7VWtXYbOSKzIhQKHtC54Emf/view?usp=drive_link,,,"2 Required Textbook
- Computer Ethics. 
Edited by Deborah Johnson, with contributions from Keith Miller
Publisher: (Pearson) Prentice Hall ISBN-13: 9780131112414 / ISBN-10: 0131112414
- Cyberethics: Morality and Law in Cyberspace (7th edition, 2020)
Author: Richard Spinello
Publisher: Jones and Bartlett Learning
ISBN-13: 9781284184068","1. pdf
2. epub","1. 322 pages
2. 254 pages
",-,,,
University of Washington-Bothell Campus,MastersCollegesAndUniversities-M1,Yes,Analyzing Biases in the Age of Digital Data,https://drive.google.com/file/d/1Ip1Q2TMXWlzfQ3cONnwXsImTTQSf3FFm/view?usp=drive_link,,,"2 Required Texbook:
- Big Data and Social Science
- ",,,2,,,
Tufts University,Doctoral-R1,No,Privacy in the Digital Age,https://drive.google.com/file/d/1YrF8KINq5Cmum5qKJgBsCDaGOGmbC2YH/view?usp=drive_link,,,,,,11,,,
University of Illinois Urbana-Champaign,Doctoral-R1,No,Trustworthy Machine Learning,https://drive.google.com/file/d/1vFnV8RVYr2BfIPAYMPBuP1Kxf5-VOjvs/view?usp=drive_link,,,,,,3,,,
Barnard College,Baccalaureate-ArtsAndSciences,No,"Networks, Crowds, and the Web",https://drive.google.com/file/d/1yv5x2KVe-vtjSwcmoYMu4s5L8TNfIvPE/view?usp=drive_link,,,,,,-,,,
Barnard College,Baccalaureate-ArtsAndSciences,No,COMPUTERS AND SOCIETY,https://docs.google.com/document/d/1Za1kS6mWpiDx5KuyAvbn2I2SoeMyFb-7/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,,,2,,,
Johns Hopkins University,Doctoral-R1,No,Computer Ethics,https://drive.google.com/file/d/1Yu1m5M3F9z19vChq0h7z-9JQtiwsAtlw/view?usp=drive_link,,,,,,-,,,
SUNY at Fredonia,MastersCollegesAndUniversities-M3,No,Regulations in Security,https://docs.google.com/document/d/148AYW8OdIwA82pGxwKkKzqnAg-aLcr-Q/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,,,0,,,
University of Georgia,Doctoral-R1,No,Data Science Capstone,https://drive.google.com/file/d/11Ud0iS8bm6NoDHISKteBySKlyN9IsoXi/view?usp=drive_link,,,,,,-,,,
Middlebury College,Baccalaureate-ArtsAndSciences,No,Understanding Our Algorithmic World,https://www.cs.middlebury.edu/~candrews/classes/cs105-s22/,,,,,,2,,,
Stanford University,Doctoral-R1,No,Human-Centered NLP,https://web.stanford.edu/class/cs329x/,,,,,,5,,,
North Carolina State University at Raleigh,Doctoral-R1,No,Systems Attacks and Defenses,https://kapravelos.com/teaching/csc591-s20/syllabus/,,,,,,0,,,
University of Washington-Bothell Campus,MastersCollegesAndUniversities-M1,No,Computers and Society,https://docs.google.com/document/d/1-phYzXJz6vWehTHfzhK0HfkkcSWmwdbd/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,,,-,,,
Lehigh University,Doctoral-R2,No,Computer Networks,https://www.cse.lehigh.edu/~cheng/Teaching/CSEECE404-10/syllabus.html,,,,,,0,,,
Rivier University,MastersCollegesAndUniversities-M2,No,Computer Security,https://rivieredu-my.sharepoint.com/personal/jglossner_rivier_edu/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fjglossner%5Frivier%5Fedu%2FDocuments%2FAttachments%2Fcs572%20syllabus%20SP24%20T2%2Epdf&parent=%2Fpersonal%2Fjglossner%5Frivier%5Fedu%2FDocuments%2FAttachments&ga=1,,,,,,-,,,
Tufts University,Doctoral-R1,No,Human Factors in Security and Privacy,"https://www.cs.tufts.edu/comp/152HFS/ , https://www.cs.tufts.edu/comp/152HFS/hws/ ",,,,,,14,,,
University of Illinois Urbana-Champaign,Doctoral-R1,No,Topics in Societal and Ethical Impacts of Computer Technology,https://drive.google.com/drive/folders/1gGim974fjM2c1p8uLMANpWsEOA56DkuS,,,,,,0,,,
Stanford University,Doctoral-R1,Yes,Ethical and Social Issues in Natural Language Processing,https://web.stanford.edu/class/cs384/,,,,,,1,,,
University of Vermont,Doctoral-R2,No,Data Privacy,https://jnear.github.io/cs3110-data-privacy/,,,,,,7,,,
Georgetown University,Doctoral-R1,Yes,Introduction to Network Security,https://courses.benujcich.georgetown.domains/cosc435/fa2021/,,,,,,0,,,
Georgetown University,Doctoral-R1,Yes,Data Protection by Design,https://courses.benujcich.georgetown.domains/cosc824/sp2021/,,,,,,4,,,
University of Massachusetts-Dartmouth,Doctoral-R2,No,Network Security & Data Assurance,https://drive.google.com/file/d/1QxBwFzuzylQz45gyzmm8l_sod00iZwaT/view?usp=drive_link,,,,,,0,,,
Guilford College,Baccalaureate-ArtsAndSciences,Yes,Seminar in Cyber Security,https://docs.google.com/document/d/19-gGcv9HlmWWcQFk7uwl8ooAEYLvHvGp/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,,,2,,,
Prairie View A & M University,Doctoral-R2,No,Ethics and Social Issues in Computing,https://www.pvamu.edu/sites/hb2504/courses/Fall%202023/COMP%204100-P01.pdf?nocache=1713974057,,,,,,4,,,
Tufts University,Doctoral-R1,No,Cyberlaw and Cyberpolicy,https://privacyink.org/Teaching.html,,,,,,2,,,
Swarthmore College,Baccalaureate-ArtsAndSciences,No,Security and Privacy,https://www.cs.swarthmore.edu/~chaganti/cs88/s24/,,,,,,10,,,
Augusta University,Doctoral-R2,No,Information Management,"https://docs.google.com/spreadsheets/d/1V-q5NxhOQbhjasxbiOcvfDL1D8ObE0eJ/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true , https://drive.google.com/file/d/1DL-swJZiYEXBx8zr-AT_UbUgvtEhRqCH/view?usp=drive_link ",,,,,,2,,,
University of Illinois Urbana-Champaign,Doctoral-R1,No,Data Mining Principles,https://wiki.illinois.edu//wiki/display/cs512/Lectures,,,,,,-,,,
Purdue University Fort Wayne,MastersCollegesAndUniversities-M2,No,Computers In Society,https://docs.google.com/document/d/1LTSP5cK4EtOcGZktHNNMjt2ialh9QrPK/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,,,6,,,
University of Massachusetts-Dartmouth,Doctoral-R2,No,Computer and Information System Security,https://drive.google.com/file/d/1Kb2WkkUmu2fUbv8UEZOZ3Z_4ZnWOkXEV/view?usp=drive_link,,,,,,0,,,
Sacred Heart University,Doctoral-D/PU,No,INTRO TO CYBER SECURITY,https://drive.google.com/file/d/1wqKeAT4jfC7y9-VrOsrvM-buF-u_23Os/view?usp=drive_link,,,,,,1,,,
Riverside City College,Associates-HighTransfer-HighTraditional,No,Foundations of Data Science,https://drive.google.com/file/d/1M8X5Dr0rxQyY_a1KaI3jopqQDTiqoH2Q/view?usp=drive_link,,,,,,-,,,
Western Michigan University,Doctoral-R2,No,Computer Security and Information Assurance,https://drive.google.com/file/d/1E2eACnicqAV3IL-tY78jimbqsnUsiA33/view?usp=drive_link ,,,,,,-,,,
University of Wisconsin-Whitewater,MastersCollegesAndUniversities-M1,No,Cybersecurity law and policy,https://docs.google.com/document/d/1GiyeanyGei9D2Nz_OXr6rJ6kfYDAne43/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,,,8,,,
Stanford University,Doctoral-R1,No,Exploring Computing,https://drive.google.com/file/d/1TAN_GP5gnEFGAu1UXKhoI99b8k3xbYc_/view?usp=drive_link,,,,,,1,,,
University of Illinois Urbana-Champaign,Doctoral-R1,No,Computer Security I,"https://courses.engr.illinois.edu/cs461/sp2024/schedule.html , https://drive.google.com/drive/folders/1GusshyQzuH_hPUx_NBfuVCgb8H0IHRI1?usp=drive_link ",,,,,,0,,,
Northwestern University,Doctoral-R1,No,"Computing, Ethics, and Society",https://nu-tech-ethics.github.io/index/ ,,,,,,0,,,
Tufts University,Doctoral-R1,No,"Privacy, Security, and Data",https://drive.google.com/file/d/1LQP0DeQzlC8JZaS5AScUS_CW1Ml4hcbx/view?usp=drive_link,,,,,,13,,,
California State University-Chico,MastersCollegesAndUniversities-M1,No,Advanced Topics in Data Science,https://drive.google.com/file/d/1UiknCHuI27DQjkXf-fXnjl5ehWXbY9PI/view?usp=drive_link,,,,,,0,,,
University of Massachusetts-Dartmouth,Doctoral-R2,No,Social & Ethical Aspects of Computing,https://drive.google.com/file/d/1WEYDoAppEI2b78p5Anq7_53ak2Ij8FDO/view?usp=drive_link,,,,,,2,,,
The University of Alabama,Doctoral-R1,No,Legal & Ethical Issues in Comp,https://ua.simplesyllabus.com/api2/doc-pdf/iidtkkut6/Spring-2024-CS-340-001-.pdf?locale=en-US,,,,,,-,,,
The University of Alabama,Doctoral-R1,No,Adv. Legal & Ethical Issues,https://ua.simplesyllabus.com/api2/doc-pdf/fldkyulmu/Fall-2023-CS-345-001-Adv-Legal-%26-Ethical-Issues.pdf?locale=en-US,,,,,,-,,,
The University of Alabama,Doctoral-R1,No,Cyber Law and Ethics,https://ua.simplesyllabus.com/api2/doc-pdf/dswu40prh/Spring-2024-CS-347-001-.pdf?locale=en-US,,,,,,-,,,
Thomas Edison State University,MastersCollegesAndUniversities-M2,No,Computer Concepts and Applications,https://drive.google.com/file/d/1WxvJmVssAr6uUMXNVJ7G6qpqARPW4GiX/view?usp=drive_link,,,,,,-,,,
Saint Martin's University,MastersCollegesAndUniversities-M3,No,Cyber Forensics,https://docs.google.com/document/d/1E-mva-HhEtrQ33pv62Vzhf68eM70zUsH/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,,,-,,,
New Mexico State University-Dona Ana,Associates-MixedTransfer/Career&Technical-MixedTraditional/Nontraditional,No,Database Management Systems I,https://drive.google.com/file/d/1IuvKKz9BerDJ1Q4ySR0IypDtOcmJZ2xT/view?usp=drive_link,,,,,,-,,,
Calvin University,MastersCollegesAndUniversities-M3,No,Embedded Systems and the Internet of Things,https://cs.calvin.edu/courses/cs/326/cs326.pdf,,,,,,3,,,
Calvin University,MastersCollegesAndUniversities-M3,No,Perspectives on Computing,https://cs.calvin.edu/courses/cs/384/cs384.pdf,,,,,,2,,,
Columbia University in the City of New York,Doctoral-R1,No,"Networks, Crowds, and the Web",https://drive.google.com/file/d/1l6D0JcB9duiqEohROSayOWsr8Bv1i77D/view?usp=drive_link,,,,,,-,,,
University of Colorado Colorado Springs,Doctoral-R2,No,Privacy and Censorship,"https://docs.google.com/document/d/1BiweT40Aj79htp153K9Atl1euHKLvr4I/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true , https://uccsoffice365-my.sharepoint.com/personal/ssulliv7_uccs_edu/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fssulliv7%5Fuccs%5Fedu%2FDocuments%2FDocuments%2FUCCS%20Spring%202024%2FCS%20%2D%204930%20and%205930%20Privacy%20and%20Censorship%2F3%20%2D%20Homework%20%2D%20All%20Students%2FSpring%202024%20Homework%20Instructions%20and%20Keys&ga=1",,,,,,-,,,
University of Rochester,Doctoral-R1,No,Social Implications of Computing,https://www.cs.rochester.edu/u/scott/courses/299/,,,,,,3,,,
Rutgers University-New Brunswick,Doctoral-R1,No,Introduction to Data Communications and Networks,https://people.cs.rutgers.edu/~sn624/352-S21/syllabus.html,,,,,,0,,,
Washington and Lee University,Baccalaureate-ArtsAndSciences,No,Cybersecurity and Privacy,https://drive.google.com/file/d/1LRpNEaXmX_l5s6-f_eoXHZ3hSl6PyaMh/view?usp=drive_link,,,,,,1,,,
Columbia University in the City of New York,Doctoral-R1,No,Anonymity and Privacy,https://www.cs.columbia.edu/~smb/classes/f23/,,,,,,8,,,
Columbia University in the City of New York,Doctoral-R1,No,Computers and Society,https://www.cs.columbia.edu/~smb/classes/f21/,,,,,,9,,,
Fordham University,Doctoral-R2,No,Cyberspace: Issues and Ethics,https://drive.google.com/file/d/1xU5ST-2RrPieGn32hAkJnBACPD4RP2sI/view?usp=drive_link,,,,,,3,,,
Clark University,Doctoral-R2,No,Introduction to Societal Computing,"https://cs.clarku.edu/~cs103/syllabus/ ,  https://cs.clarku.edu/~cs103/class/ , https://cs.clarku.edu/~cs103/schedule/",,,,,,0,,,
University of Chicago,Doctoral-R1,No,"Ethics, Fairness, Responsibility, and Privacy in Data Science",https://raulcastrofernandez.com/DATA-25900-Spring24/,,,,,,4,,,
Frostburg State University,MastersCollegesAndUniversities-M1,No,Secure Computing,https://drive.google.com/file/d/1VNRcu3d2-TiBD2sWtZ47AWpyAWdC5mSW/view?usp=drive_link,,,,,,0,,,
University of Akron Main Campus,Doctoral-R2,No,Ethics & Law in Information Technology,https://drive.google.com/file/d/1-jUdnDyW5jzwhlKwn9x8tx4AvyvLg0tl/view?usp=drive_link,,,,,,2,,,
Seattle University,Doctoral-D/PU,No,Security in Computing,https://drive.google.com/file/d/1c0CFfey_UswohXvkXJJU5FuhhHJX79iy/view?usp=drive_link,,,,,,-,,,
California State University-Long Beach,Doctoral-R2,No,Introduction to Computer Security,https://github.com/agiacalone/cecs-478-sp24-02-syllabus-7745,,,,,,0,,,
California State University-Long Beach,Doctoral-R2,No,Introduction to Computer Security Principles,https://github.com/agiacalone/cecs-378-sp24-01-syllabus-5283,,,,,,0,,,
Heritage University,MastersCollegesAndUniversities-M3,No,Introduction to Computers,https://drive.google.com/file/d/1vUjcKdGrLwkbI7t1Xaxe8j86UFm0Syh0/view?usp=drive_link,,,,,,4,,,
Bentley University,MastersCollegesAndUniversities-M1,No,Cybersecurity,"https://drive.google.com/file/d/1m-zu4U4hD5kbqOTtZTEFKt_L2yQ6216W/view?usp=drive_link, https://drive.google.com/file/d/1PHSe3fKS8XuuMpT9V5KID56g8R4L6TCX/view?usp=drive_link",,,,,,0,,,
Gonzaga University,Doctoral-D/PU,No,Computer Security,https://docs.google.com/document/d/1tZcaN7cZjGQNG2q9PLC__-3LwFcVRdIS/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,,,-,,,
University of Minnesota-Duluth,MastersCollegesAndUniversities-M1,No,Computer Ethics ,https://sites.google.com/d.umn.edu/umd-fall-2023-computer-ethics,,,,,,0,,,
Carnegie Mellon University,Doctoral-R1,No,Software Foundations of Security & Privacy,https://15316-cmu.github.io/2023/index.html,,,,,,3,,,
The University of Tennessee-Chattanooga,Doctoral-D/PU,No,Principles of Information Security and Assurance,"https://docs.google.com/document/d/1IaPeShSTfeaf8KGHqyHV-9NxIyDfFwfb/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true, https://drive.google.com/file/d/1bwQPfnH7Qeq0JRbXLGVgAgntC-U_jeF2/view?usp=drive_link",,,,,,-,,,
The University of Tennessee-Chattanooga,Doctoral-D/PU,No,Computer ethics,"https://docs.google.com/document/d/1r3IQoqoZQR0f1B8X0LCnY5xGK4y3JWJB/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true , https://drive.google.com/file/d/17t5grZyonRwvXV9mUBzXQbRlq8pIO9Zx/view?usp=drive_link",,,,,,2,,,
New Mexico State University-Main Campus,Doctoral-R2,No,Computing Ethics and Social Implications of Computing,"https://docs.google.com/document/d/1bbcdeS3d22CuSPRzwl79FfQ760fNDxWL/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true , https://docs.google.com/document/d/1gkfJi3h4VPtQ_vZRifcJi-Gt46_oVmhC/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true","Our ethics class is 1 hour.   The format has been to use the ACM code of ethics as the foundation of our coursework.  Students make short, group presentations about a current IT related issues and relating these issues to the ACM code of ethics,    https://www.acm.org/code-of-ethics


The students also hear from experts on Federal Laws and Acts, experiences from a Forensics Expert, and work place biases from a retired industry person (three different presentations).

The final exam requires students to respond to ethical IT/data governance issues at NMSU by identifying NMSU policy as well as global problems relating to the ACM code of ethics.",,,,,-,,,
Loyola University Maryland,MastersCollegesAndUniversities-M1,No,Cyber Security and Digital Forensics,https://drive.google.com/file/d/15oKpevlwJ5NNRYgmyX56txrjgdrIY7xc/view?usp=drive_link,,,,,,0,,,
Bowling Green State University-Main Campus,Doctoral-R2,No,POWER OF COMPUTING: THINK LIKE A COMPUTER,https://drive.google.com/file/d/1-YupMhLpV2kfwK1MSi7GuxSiBWOyJGQZ/view?usp=drive_link,,,,,,-,,,
Bowling Green State University-Main Campus,Doctoral-R2,No,Cybersecurity for Beginners,https://drive.google.com/file/d/121PTS3WlNpcmA2iYGF6lwXT9vdLaR5bD/view?usp=drive_link,,,,,,-,,,
Merrimack College,MastersCollegesAndUniversities-M1,No,"System Administration, Privacy and Ethics",https://drive.google.com/file/d/1FRhg9JQm4ZZiHU-iLiR9fl8NTWhDX-12/view?usp=drive_link,"That course was last offered in 2019. I am attaching that syllabus for your reference, but it is not a course we offer anymore. It was part of a now-defunct Information Technology major.",,,,,2,,,
Yale University,Doctoral-R1,No,Introduction to Information Systems,"https://zoo.cs.yale.edu/classes/cs200/syllabus.html , https://zoo.cs.yale.edu/classes/cs200/assignments.html",,,,,,0,,,
Saint Peter's University,MastersCollegesAndUniversities-M1,No,Cryptology,"https://docs.google.com/document/d/1H3qfvNV4n-oxjy7EVDewaMfzThZbHHpO/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true , https://drive.google.com/file/d/18H8fIEhuW-Et1OUjEjSqIoyjCw7yzb-A/view?usp=drive_link, https://drive.google.com/file/d/12EFovpp8yeffSrtMrbaao3IMQ_CBkMPc/view?usp=drive_link, https://drive.google.com/file/d/1pO-m-j_Ho0SqOCYGc-r3qInfs2hwPQAb/view?usp=drive_link",,,,,,0,,,
South Carolina State University,MastersCollegesAndUniversities-M3,No,Cryptography and Network Security,"https://drive.google.com/file/d/1X_r90OBxinuOeLg2QkVORJdg63_sMo_l/view?usp=drive_link , https://drive.google.com/file/d/1cgqBckr9Y0Un1IU_Oi0DyVrzJR7-Ya_U/view?usp=drive_link , https://drive.google.com/file/d/1dJFYmhggwp9yiI93hGdpk7dsefCh36Uz/view?usp=drive_link",,,,,,0,,,
Dartmouth College,Doctoral-R1,No,Security and Privacy in the Lifecycle of IoT for Consumer Environments,https://drive.google.com/file/d/1-ppU6ATY3ODZTsmD7HOKm2jjvqtJqviH/view?usp=drive_link,,,,,,1,,,
Fisher College,Baccalaureate-DiverseFields,No,Information Security and Privacy,https://drive.google.com/file/d/11xIXV__yt7WqdjiHE9etthcWGeCIIYWH/view?usp=drive_link,,,,,,0,,,
University of Oklahoma-Norman Campus,Doctoral-R1,No,Programming Structures and Abstractions,https://symbiotic-computing.org/fagg_html/classes/cs2334_f17/,,,,,,1,,,
Bates College,Baccalaureate-ArtsAndSciences,No,Ethical Hacking Essentials,https://docs.google.com/document/d/1BC6Kc7yvFov3tV0ELGkCeIwv_SyDxHFU/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,,,-,,,
Brandeis University,Doctoral-R1,No,Introduction to Computer Security,https://drive.google.com/file/d/1FSx1QsD2JEyzcV3npEzI0oeGVPUaejCb/view?usp=drive_link,"The course does not spend much time on privacy, though I’d like to do more. Several of the later lectures differed from the syllabus here, and one focused on privacy. For that, the assigned readings were:

Arvind Narayanan and Vitaly Shmatikov, Myths and fallacies of ""Personally Identifiable Information""
Communications of the ACM (CACM), Volume 53, Issue 6 June 2010, pp 24–26
https://urldefense.com/v3/__https://dl.acm.org/doi/10.1145/1743546.1743558__;!!Mih3wA!HOocQvu_i9NiCDfVNK_JGC4lPeE5L8UBx5DdCQ3HVj9DWdyEstdvkHtxcDZhQ9mIy17kV9VGg4W6siY8yFUzsxM$ 

T-Mobile privacy policy
https://urldefense.com/v3/__https://www.t-mobile.com/privacy-center/privacy-notices/t-mobile-privacy-notice__;!!Mih3wA!HOocQvu_i9NiCDfVNK_JGC4lPeE5L8UBx5DdCQ3HVj9DWdyEstdvkHtxcDZhQ9mIy17kV9VGg4W6siY8zZ7NLA4$ 

Yahoo, How Digital Advertising Works
https://urldefense.com/v3/__https://legal.yahoo.com/us/en/yahoo/privacy/advertising/index.html*:*:text=Online*20advertising*20typically*20works*20as,buy*20and*20sell*20advertising*20inventory__;I34lJSUlJSUlJQ!!Mih3wA!HOocQvu_i9NiCDfVNK_JGC4lPeE5L8UBx5DdCQ3HVj9DWdyEstdvkHtxcDZhQ9mIy17kV9VGg4W6siY8kkhiqXo$ .",,,,,0,,,
Rose-Hulman Institute of Technology,SpecialFocus-FourYear-EngineeringAndOtherTechRelatedSchools,No,OPERATING SYSTEMS,https://www.rose-hulman.edu/class/csse/csse332/2324d/docs/syllabus/syllabus/,,,,,,-,,,
California State University-East Bay,Doctoral-R2,No,Computing and Social Responsibility,https://docs.google.com/document/d/11I7WUyM-gpSFV5s-WuOtBMTt_x2OLIdP/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,,,,4,,,
University of South Florida,Doctoral-R1,No,HUMAN ASPECTS OF CYBERSECURITY,https://drive.google.com/file/d/1GdSH0vxtcggzLqNLtc5aoKPZ14SNsyPW/view?usp=drive_link,,,,,,0,,,
Sacred Heart University,Doctoral-D/PU,No,COMPUTER ETHICS:SOCIETY & TECH,"https://docs.google.com/document/d/1kG6C3R39oQW6CYJtahdxvmYs2nlvKBYU/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true ,  https://drive.google.com/drive/folders/13JlW69SRAy6yB0U4wCE72pTVOukldR4g?usp=drive_link",,,,,,1,,,
Framingham State University,MastersCollegesAndUniversities-M1,No,Introduction to Information Technology,https://drive.google.com/file/d/1mUljq66aB7tbrW2O-2gVJEQtkdL7wavV/view?usp=drive_link,,,,,,-,,,
Stevens Institute of Technology,Doctoral-R2,No,Societal Impact of Information Technologies,https://drive.google.com/file/d/1FWxubkrTv9ycOX-9X69jeF7dLD53qnqQ/view?usp=drive_link,,,,,,-,,,
Knox College,Baccalaureate-ArtsAndSciences,No,Cryptography and Computer Security,https://drive.google.com/file/d/1VbhcAgz18Kl-xud_MgJ9FZ9f9n7Od8ht/view?usp=drive_link,,,,,,0,,,
